Feature,Importance,Importance_Percentage
VO2_Max,0.6384255625386428,63.84255625386428
Age_Years,0.20544327212340432,20.544327212340434
RIAGENDR,0.11716060772567254,11.716060772567253
BMXBMI,0.03897055761228047,3.897055761228047
